+----+------------------------------------------+-------------+---------------+
| No |               Nama Barang                |     Stok    |     Harga     |
|71  | Sari Roti Tawar Jumbo                    |          23 |        18,000 |
|72  | Sasa Bumbu Serbaguna Original            |          87 |         6,900 |
|73  | SHINZUI Skin Lightening Bar So           |         320 |         5,900 |
|74  | Silver Queen Chonky Bar Milk C           |          89 |        25,900 |
|75  | Snack Tortila Chips Merah 140g           |          34 |        11,500 |
|76  | SOS Pembersih Lantai refill Ap           |          65 |        11,700 |
|77  | Sosro Fruit Tea Blackcurrant 5           |          39 |         7,100 |
|78  | Sprite Soft Drink 390ml                  |          78 |         5,900 |
|79  | Strepsil Soothing Honey Lemon            |          87 |        21,700 |
|80  | Tango Wafer Long Vanilla Milk            |          43 |         8,900 |
|81  | Tebs Sparkling Soda Mix Fruit            |          87 |         8,300 |
|82  | Teh Botol Sosro Less Sugar 350           |         143 |         3,900 |
|83  | Teh Puuck Harum Less Sugar 350           |          43 |         3,900 |
|84  | Tessa Facial Tissue 260's                |          76 |        23,700 |
|85  | Tropical Minyak Goreng  2000 M           |          63 |        36,100 |
|86  | Ultra susu UHT 200 ML                    |          62 |         6,300 |
|87  | Whiskas Adult Ocean Fish Pouch           |          78 |         8,100 |
|88  | Yakult 5x65 ML                           |          30 |        10,500 |
|89  | Yakult Minuman Probiotik 5 pcs           |          61 |        10,500 |
|90  | You C1000 Health Drink Vitamin           |          57 |         7,900 |
+----+------------------------------------------+-------------+---------------+

